name;sku;brand;price;category;brandPage;info1;info2;info3;info4;info5;info6;info7;info8;info9;info10;info11;info12;info13;info14;info15;info16;image;image2;image3;image4;image5;image6;image7;image8;link;height;width;depth;weight;material;color
LW-4736 Plecak LEGIA WARSZAWA;LW-4736;Legia Warszawa;219,90;Plecak;brand_Legia_Warszawa.html; Pojemny wytrzymały plecak,;z logo Legii Warszawa; idealny na co dzień lub na trening;Wytrzymały plecak szkolny z ergonomicznymi szelkami, dużą komorą i kieszeniami, idealny na książki.;Plecak moze sluzyc do nnoaszenia nia racmoia niarca oamca oaida aoramda owdakxoa awdakm awadoa auigj rijij fn rwimin idninklfan n nalnandiaw wi ni lw i ndaliwaidn windnam;Funkcjonalny plecak szkolny z pojemną komorą główną, dodatkowymi kieszeniami i ergonomicznymi szelkami. Wykonany z trwałych materiałów, zapewnia komfort noszenia, bezpieczeństwo podręczników i modny, nowoczesny wygląd.;;;;Plecak ma wygody materail ktrora jest miekki w dotyku i nie przeciaza pleow dodatkowo wypelniony miekka pianka evo;;;;;;;img\LW-4619 pen case BACK.jpg;img\LW-4619 pen case FRONT.jpg;img\LW-4620 pen case FRONT.jpg;img\LW-4736 front.jpg;img\LW-4619 pen case FRONT.jpg;img\LW-4619 pen case FRONT.jpg;img\LW-4619 pen case FRONT.jpg;;https://allegro.pl/oferta/lw-4736-plecak-legia-warszawa-16929151399; 52; 38; 12; 600; poliester;czarny
Koszulka meczowa domowa 23/24;KOSZ-DOM-2324;Legia Warszawa;339,99;Odzież > Koszulki meczowe;brand_Legia_Warszawa.html;Oficjalny produkt Adidas;Technologia AEROREADY;Wersja kibicowska;Krótki rękaw;Wyszywany herb klubu;Lekki materiał;Kołnierzyk w serek;Dopasowany krój;Kolor biały;Paski na ramionach;Trwały nadruk sponsora;Możliwość personalizacji;Wysoka oddychalność;Produkt licencjonowany;Dostępne rozmiary S-XXL;Jakość premium;img\TE logo.jpg;img\pexels-pixabay-159644.jpg;img\LW-4621 back.jpg;;;;;;https://sklep.legia.com/produkt/koszulka-meczowa-domowa-23-24;75;55;2;0,25;Poliester z recyklingu;Biały
Bluza z kapturem "Legia";BLUZA-KAPT-GRY;Legia Warszawa;219,99;Odzież > Bluzy;brand_Legia_Warszawa.html;Duży nadruk na piersi;Kieszeń typu kangurka;Regulowany kaptur;Gruba bawełna;Miękka w dotyku;Ściągacze na rękawach;Komfortowy krój;Idealna na co dzień;Produkt kibicowski;Wysoka gramatura;Odporna na pranie;Dostępna w wielu rozmiarach;Wysoka jakość wykonania;Trwałe kolory;Logo na rękawie;Wyprodukowano w Polsce;;;;;;;;;https://sklep.legia.com/produkt/bluza-z-kapturem-legia;72;60;5;0,6;Bawełna;Szary melanż
Czapka z daszkiem "Classic";CZAP-DASZ-BLK;Legia Warszawa;119,99;Akcesoria > Czapki;brand_Legia_Warszawa.html;Haftowany herb 3D;Regulowane zapięcie;Klasyczny krój bejsbolówki;Usztywniany przód;Otwory wentylacyjne;Uniwersalny rozmiar;Bawełniany materiał;Chronii przed słońcem;Oficjalny produkt;Kolor czarny;Stylowy dodatek;Dla mężczyzn i kobiet;Wysoka jakość haftu;Trwała i wygodna;Dopasowuje się do głowy;Marka New Era;;;;;;;;;https://sklep.legia.com/produkt/czapka-z-daszkiem-classic;20;20;12;0,1;Bawełna;Czarny
Szalik kibica "Żyleta";SZAL-ZYL-01;Legia Warszawa;50,00;Akcesoria > Szaliki;brand_Legia_Warszawa.html;Dwustronny wzór;Tradycyjne barwy klubowe;Napis "Żyleta";Wykonany z dzianiny;Miękki i ciepły;Długość 145 cm;Idealny na mecze;Produkt licencjonowany;Symbol kibicowski;Wyprodukowano w Polsce;Zakończony frędzlami;Wysoka jakość wykonania;Dla każdego kibica;Trwałe kolory;Klasyczny design;Edycja limitowana;;;;;;;;;https://sklep.legia.com/produkt/szalik-zyleta;145;18;1;0,15;Dzianina akrylowa;Biało-czerwono-zielony
Kubek ceramiczny z herbem;KUB-CER-WHT;Legia Warszawa;39,99;Gadżety > Kubki;brand_Legia_Warszawa.html;Pojemność 330 ml;Duży herb klubu;Można myć w zmywarce;Odporny na zarysowania;Wygodny uchwyt;Idealny na prezent;Produkt oficjalny;Wysokiej jakości nadruk;Ceramiczny materiał;Do gorących i zimnych napojów;Zapakowany w kartonik;Dla każdego fana;Trwały i praktyczny;Klasyczny kształt;Logo sponsora;Wyprodukowano w UE;;;;;;;;;https://sklep.legia.com/produkt/kubek-ceramiczny;9,5;8;8;0,35;Ceramika;Biały
Spodenki meczowe domowe 23/24;SPOD-DOM-2324;Legia Warszawa;169,99;Odzież > Spodenki;brand_Legia_Warszawa.html;Oficjalny produkt Adidas;Technologia AEROREADY;Pasuje do koszulki domowej;Elastyczny pas ze sznurkiem;Wyszywany herb;Lekki i przewiewny materiał;Kolor czarny;Luźny krój;Nie krępuje ruchów;Idealne do treningu;Szybkoschnące;Wysoka jakość;Produkt licencjonowany;Dostępne rozmiary S-XL;Trwałość;Boczne wstawki;;;;;;;;;https://sklep.legia.com/produkt/spodenki-meczowe-domowe-23-24;45;35;2;0,2;Poliester z recyklingu;Czarny
Plecak sportowy "Mistrzowska";PLECAK-MISTRZ;Legia Warszawa;149,99;Akcesoria > Plecaki;brand_Legia_Warszawa.html;Pojemność 28L;Wodoodporny materiał;Oddzielna komora na buty;Kieszeń na laptopa 15";Regulowane szelki;Wzmocnione plecy;Dwie komory główne;Boczne kieszenie siatkowe;Herb klubu na froncie;Wytrzymałe zamki błyskawiczne;Idealny na trening i do szkoły;Uchwyt do przenoszenia;Elementy odblaskowe;Lekka konstrukcja;Produkt oficjalny;Praktyczny i funkcjonalny;;;;;;;;;https://sklep.legia.com/produkt/plecak-mistrzowska;48;32;20;0,7;Poliester;Granatowy
Piłka nożna z podpisami;PILKA-PODPISY-5;Legia Warszawa;99,99;Gadżety > Piłki;brand_Legia_Warszawa.html;Rozmiar 5;Nadrukowane podpisy zawodników;Szyta maszynowo;Herb klubu;Pęcherz butylowy;Do gry rekreacyjnej;Trwała powłoka TPU;Oficjalny produkt;Idealna dla kolekcjonera;Barwy klubowe;Dobra widoczność na boisku;Wysoka jakość wykonania;Symbol klubu;Prezent dla fana;Do gry na trawie;Wymaga napompowania;;;;;;;;;https://sklep.legia.com/produkt/pilka-z-podpisami;22;22;22;0,42;TPU;Biały
Brelok metalowy "Herb";BRELOK-MET-HERB;Legia Warszawa;29,99;Gadżety > Breloki;brand_Legia_Warszawa.html;Metalowy odlew;Emaliowany herb klubu;Solidne kółko do kluczy;Odporny na zarysowania;Elegancki design;Mały i poręczny;Idealny na prezent;Produkt licencjonowany;Wysoka jakość wykonania;Dbałość o detale;Symbol przynależności;Trwały materiał;Zapakowany w blister;Kompaktowy rozmiar;Lekki;Praktyczny gadżet;;;;;;;;;https://sklep.legia.com/produkt/brelok-metalowy-herb;5;3,5;0,3;0,05;Metal;Srebrny
